前缀类别,是否完整,DRV_LIBS,GH_HRV_pre_pv_v1.0.1.0,GH_HR_bas_pv_v1.0.2.0,GH_HR_exc_pv_v2.0.2.0,GH_HR_med_pv_v1.0.2.0,GH_HR_pre_pv_v1.0.2.0,GH_NADT_pre_pv_v1.0.2.0,GH_SPO2_bas_pv_v2.1.10.0,GH_SPO2_pre_pv_v2.1.10.0,dlCom_bas2med_pv_v1.0.0,dlCom_pre2exc_pv_v1.3.0,dsp_pv_v1.3.0
android-ndk-r22b_default_arm64-v8a,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
android-ndk-r22b_default_armeabi-v7a,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
arm9e_keil-armcc-5.06_o3,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
ba22_ba-elf-gcc-7.4.0_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
bhi260_arc-elf32-gcc-8.3.1_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-a53_armclang-6.18_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-a5_arm-gcc-7.2.1_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-a5_armcc-5.06u4_o3,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m0+_armclang-mdk531_oz,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m0+_iar-armcc-8.22.2.15995_om,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m0+_keil-armcc-5.06_o2,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m0_arm-gcc-4.9.3_o2,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m0_iar-armcc-8.22.2.15995_om,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m0_keil-armcc-5.06_o2,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m33_arm-gcc-10.3-romopt_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m33_arm-gcc-10.3_o2+hard,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m33_arm-gcc-7.3.1_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m33_arm-gcc-8.2.1_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m33_arm-gcc-9.2.1-NDSP_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m33_arm-gcc-9.2.1_o2,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m33_arm-gcc-9.2.1_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m33_arm-gcc-9.2.1_os_flto,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m33_arm-zephyr-eabi-gcc-12.2.0_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m33_armclang-mdk531_o0+fshort-enums+fshort-wchar,❌,✅,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌
cortex-m33_armclang-mdk531_oz,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m33_armclang-mdk531_oz+fshort-enums+fshort-wchar,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m33_armclang-mdk531_oz+fshort-enums+fshort-wchar+microLib,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m33_iar-armcc-8.22.2.15995_ohz,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m3_arm-gcc-10.3_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m3_keil-armcc-5.06_o2,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m3_keil-armcc-5.06_ospace,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m4_arm-gcc-4.9.3_o2-hard,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m4_arm-gcc-4.9.3_o2-softfp,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m4_arm-gcc-4.9.3_os-hard,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m4_arm-gcc-4.9.3_os-softfp,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m4_arm-gcc-5.4.1_o2-hard,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m4_arm-gcc-7.3.1_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m4_arm-gcc-9.2.1_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m4_arm-gcc112-segger,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m4_arm-zephyr-eabi-gcc-12.2.0_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m4_armclang-TI212_oz,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
cortex-m4_armclang-mdk531_oz,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
